mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11.805651092529297,2.535052310682387,0.019431877136230468,0.0028717888073179682,0.1,squared_hinge,"{'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9817054282757196,0.9904075754265381,0.9821942319821074,0.9898601685536762,0.986196029589372,0.9860726867654828,0.0036678835770766684,1
14.809151697158814,2.0207024937683955,0.018456077575683592,0.0016123651590485113,0.1,hinge,"{'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9828901945793342,0.9915259305254316,0.9807281438354926,0.9851463659655285,0.9854947962722983,0.9851570862356169,0.0036174761684332995,2
8.465378856658935,1.6696112574816373,0.020919132232666015,0.002281008979624664,0.01,squared_hinge,"{'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.984951984951985,0.9904026022640795,0.9789280348075727,0.9836506115164444,0.9836813666501499,0.9843229200380463,0.0036695131770635293,3
39.70759162902832,4.815021672127613,0.015991735458374023,0.001418049399759067,1.0,squared_hinge,"{'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.9797661536827418,0.9885213066416464,0.9813366949607447,0.9865015015017248,0.9830689543035466,0.9838389222180808,0.0032389963788480884,4
34.06805033683777,2.812588467220406,0.024721145629882812,0.006068166876046351,1.0,hinge,"{'svm__C': 1, 'svm__loss': 'hinge'}",0.9811277600909268,0.9896610805664793,0.9807626901042322,0.9842824261878264,0.9816860845946027,0.9835040083088135,0.003316073005919882,5
89.80851559638977,6.677940978988975,0.012038850784301757,0.0032093353450269686,10.0,squared_hinge,"{'svm__C': 10, 'svm__loss': 'squared_hinge'}",0.9755000571233324,0.9853410635951309,0.9751300046945842,0.9830053495816756,0.9778868316568524,0.979372661330315,0.004099344777337567,6
5.922327184677124,0.5468246293173146,0.019144439697265626,0.0020514818020141113,0.01,hinge,"{'svm__C': 0.01, 'svm__loss': 'hinge'}",0.9786858974358975,0.986002543148472,0.9742550145256814,0.9766389561357846,0.9793021734132669,0.9789769169318205,0.003932234247313718,7
78.84402813911439,8.794854240304398,0.006102228164672851,0.000713747271280005,100.0,squared_hinge,"{'svm__C': 100, 'svm__loss': 'squared_hinge'}",0.974232179435953,0.9821479727465016,0.9745051429795651,0.9811217651330453,0.9778088527346225,0.9779631826059376,0.00326776230843949,8
35.702370929718015,2.3103437664315774,0.01848115921020508,0.001303204289705236,10.0,hinge,"{'svm__C': 10, 'svm__loss': 'hinge'}",0.9696358481579911,0.978913808877974,0.9740562788766344,0.9731801174100775,0.9667878590599623,0.9725147824765278,0.0041195226723833534,9
30.08521695137024,0.8993237213689568,0.01574549674987793,0.0020817579834161047,100.0,hinge,"{'svm__C': 100, 'svm__loss': 'hinge'}",0.9716596631302079,0.9687141296453183,0.9660319090858106,0.9749062564578382,0.966655320300858,0.9695934557240067,0.003304104515789725,10
