mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rfe__estimator__C,param_rfe__estimator__loss,param_svm__C,param_svm__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23.265569972991944,1.9519957099555816,0.017698335647583007,0.0026688230506159345,0.01,hinge,0.01,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.01, 'svm__loss': 'hinge'}",0.9340271428913921,0.9317301614083648,0.9421935416018442,0.9339053603609643,0.9361883644769953,0.935608914147912,0.0035816727940579246,56
24.18231315612793,1.4470780535458858,0.01977052688598633,0.006292337937293629,0.01,hinge,0.01,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.943484393002128,0.9485405406608084,0.9414815161803185,0.9403166528902048,0.9467387715293193,0.9441123748525557,0.00310579766573156,47
23.038562107086182,1.9704305891448748,0.017815303802490235,0.0035355201996656294,0.01,hinge,0.1,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9459018203402091,0.9515740875158071,0.9504315432187228,0.9440551520551521,0.9475648004415737,0.947905480714293,0.002785513107730689,36
24.979838132858276,1.753388531035949,0.016446256637573244,0.00243801779874511,0.01,hinge,0.1,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9509651115899422,0.9561759304034242,0.9540826597271691,0.9535909534653335,0.9515497480711055,0.9532728806513948,0.001869737642533778,26
23.97007918357849,1.8540543693809086,0.01811704635620117,0.0017594854974897411,0.01,hinge,1.0,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 1, 'svm__loss': 'hinge'}",0.9534733576007378,0.9563994440075821,0.9538891586242618,0.9515845852800102,0.952151345494662,0.9534995782014508,0.0016761033047000323,23
22.354360008239745,2.086751367230252,0.016691064834594725,0.002264421985408041,0.01,hinge,1.0,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.9573614761067919,0.9589923178642962,0.9562212392247188,0.9571639700624175,0.9569101028625013,0.957329821224145,0.0009162446475159709,13
23.25582127571106,2.1300209659769007,0.019705438613891603,0.007755208826657409,0.01,hinge,10.0,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 10, 'svm__loss': 'hinge'}",0.9568378684490401,0.960836666608032,0.959392909369725,0.9580205445177649,0.9567337769752037,0.9583643531839531,0.0015669971481517605,6
26.044329738616945,0.8753391117142569,0.019765424728393554,0.004030465944036861,0.01,hinge,10.0,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'hinge', 'svm__C': 10, 'svm__loss': 'squared_hinge'}",0.9583376630194107,0.9606366782413686,0.9558476931168656,0.9568948045280051,0.9576645410003986,0.9578762759812097,0.0016097182977139353,7
38.73936553001404,4.720168011691365,0.02572922706604004,0.005905652173978899,0.01,squared_hinge,0.01,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.01, 'svm__loss': 'hinge'}",0.9367388591958493,0.9391586942463425,0.9298001077912277,0.9399489649444485,0.9366529721163478,0.9364599196588431,0.003575611609440331,54
44.88663811683655,1.4582182996881172,0.021073007583618165,0.0011678975076400075,0.01,squared_hinge,0.01,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.9486944489923523,0.9392090882562244,0.9396167708960982,0.9489445207455772,0.947424949875307,0.9447779557531119,0.004412615445255723,46
40.54186592102051,3.493149460611997,0.018833160400390625,0.002103798003585258,0.01,squared_hinge,0.1,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9494006514039293,0.9413040974242272,0.944202161733496,0.9503011478704589,0.9532478958241845,0.9476911908512593,0.0043261851049064565,38
41.95476541519165,4.895992078987473,0.018552255630493165,0.0035420574736759036,0.01,squared_hinge,0.1,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9555919370575863,0.9438915483224201,0.9492396514084896,0.9556736934349098,0.9557026688130627,0.9520198998072937,0.0047638707908850405,29
42.41139822006225,4.844645232796174,0.017480230331420897,0.0013000169179110772,0.01,squared_hinge,1.0,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 1, 'svm__loss': 'hinge'}",0.9586683706409932,0.9509355686795821,0.9535650972014684,0.9587608432655349,0.9583879824004612,0.9560635724376081,0.0032249628315032157,16
33.59601268768311,2.1940418127439902,0.021264982223510743,0.007220236587417202,0.01,squared_hinge,1.0,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.9594377381383374,0.956419343436528,0.959966806089788,0.9665979058955388,0.9634440283413858,0.9611731643803155,0.0035114231237131886,2
43.029032182693484,2.6100150989532067,0.0186002254486084,0.004372139608351464,0.01,squared_hinge,10.0,hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 10, 'svm__loss': 'hinge'}",0.9564558163392354,0.9585050515963512,0.9583114737952894,0.9630873842066681,0.9647721001096053,0.9602263652094299,0.0031526466326017256,4
38.16635751724243,4.144459468243676,0.01374959945678711,0.0008159536660460476,0.01,squared_hinge,10.0,squared_hinge,"{'rfe__estimator__C': 0.01, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 10, 'svm__loss': 'squared_hinge'}",0.9615209796870353,0.96270326428894,0.9612012010602836,0.9704806331849749,0.9625449294195899,0.9636902015281648,0.0034437276932940833,1
57.74878268241882,1.9484875217367166,0.012761116027832031,0.0013328466063025936,0.1,hinge,0.01,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.01, 'svm__loss': 'hinge'}",0.944730316294565,0.9382666795445602,0.9352239815518771,0.9317879385769823,0.9297177540528402,0.935945334004165,0.005275444950126571,55
58.614057970047,3.599499667235656,0.012381839752197265,0.0019126830095682155,0.1,hinge,0.01,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.9520583599392934,0.9516878361407568,0.9406036927427083,0.9404708411087633,0.9395635272150972,0.9448768514293239,0.005724819709467026,45
55.68325505256653,2.88241328534845,0.01316380500793457,0.0021015992834783953,0.1,hinge,0.1,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9507191767088966,0.9553018806691336,0.9433315372460583,0.9470466977052122,0.9486980169088737,0.9490194618476349,0.003967503707416503,34
56.75382952690124,3.709353412038948,0.014011335372924805,0.0028421885010659663,0.1,hinge,0.1,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9563619861538482,0.9606876759586672,0.9457642611914329,0.9523296297667864,0.9515272226877475,0.9533341551516965,0.004996386686075841,25
55.69505362510681,4.864670875067481,0.013807439804077148,0.002110894929075535,0.1,hinge,1.0,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 1, 'svm__loss': 'hinge'}",0.9576123027332845,0.9628878212172974,0.95185772777642,0.9537320554664669,0.9587250288622126,0.9569629872111364,0.0038764069255553166,14
54.06530022621155,3.6546465565678714,0.01630563735961914,0.002780943239680301,0.1,hinge,1.0,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.9618118601725817,0.9618459138503953,0.9533006638877698,0.953877690303392,0.9566627158462558,0.957499768812079,0.0037131038539595677,9
58.39671311378479,3.1238304457416612,0.01822824478149414,0.004193403356430658,0.1,hinge,10.0,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 10, 'svm__loss': 'hinge'}",0.9599111083309166,0.9604284315599182,0.9543183459234837,0.9547249779565165,0.9580955708069182,0.9574956869155506,0.0025521534578288392,10
61.10275664329529,4.558470399519752,0.02316737174987793,0.011046147115930275,0.1,hinge,10.0,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'hinge', 'svm__C': 10, 'svm__loss': 'squared_hinge'}",0.9622824066421939,0.9669749753148924,0.9580791060667769,0.957018361555425,0.9587191282716069,0.9606147955701789,0.003638417965533599,3
44.795105361938475,8.29391087641324,0.01798081398010254,0.0019449801264649058,0.1,squared_hinge,0.01,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.01, 'svm__loss': 'hinge'}",0.9422772971936101,0.9299520364437929,0.9207880100511483,0.9347644369213243,0.9230930606995753,0.9301749682618901,0.007821095651050172,60
53.97230057716369,5.072794879616363,0.02236795425415039,0.00397463298894553,0.1,squared_hinge,0.01,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.9488072438980035,0.9421555875246783,0.9373679841183399,0.9457965310159189,0.9311583507957276,0.9410571394705336,0.006250254769621786,50
51.75490484237671,4.761732519816233,0.01981358528137207,0.002292198662258787,0.1,squared_hinge,0.1,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9519936404911024,0.9467268693716141,0.9423480801582936,0.9480672655027286,0.9433853534173607,0.9465042417882199,0.003453324440482356,40
54.49687547683716,2.8306909326615792,0.01752157211303711,0.00172270695066182,0.1,squared_hinge,0.1,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9543917394631459,0.9528898798804649,0.9446606915593518,0.9505889392555019,0.943366795646314,0.9491796091609558,0.004407449141182171,33
54.93254494667053,3.980400799259852,0.02039799690246582,0.004199891078588277,0.1,squared_hinge,1.0,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 1, 'svm__loss': 'hinge'}",0.9594312069061647,0.9529791241121407,0.9449093048848528,0.9526437594919491,0.9466649613505865,0.9513256713491387,0.005158739096960141,30
53.170641613006595,2.4119461245947353,0.016965818405151368,0.0020529414015774544,0.1,squared_hinge,1.0,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.9620390582136489,0.957422942140778,0.9463102696073532,0.9568402561088886,0.9490561432840293,0.9543337338709396,0.005786654057090525,20
50.11797909736633,2.835362180370256,0.017165279388427733,0.002636979438447096,0.1,squared_hinge,10.0,hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 10, 'svm__loss': 'hinge'}",0.960396653879156,0.9565359792392298,0.9446838956182478,0.9575921103442028,0.9485150908062464,0.9535447459774165,0.005934465045250276,22
46.45263843536377,3.8687349698084654,0.01486825942993164,0.0020376223666622073,0.1,squared_hinge,10.0,squared_hinge,"{'rfe__estimator__C': 0.1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 10, 'svm__loss': 'squared_hinge'}",0.9635522578676219,0.9574664538765214,0.9479580686895849,0.9619451639447171,0.94906643225682,0.9559976753270532,0.0064386187032742575,17
170.82294888496398,12.250281527367369,0.01191086769104004,0.0035505145312385725,1.0,hinge,0.01,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.01, 'svm__loss': 'hinge'}",0.9390559671948413,0.9309858474644365,0.9366066386804177,0.934225544371842,0.9347027116887943,0.9351153418800664,0.002674592358745282,57
173.4248650074005,6.238504325794342,0.014121913909912109,0.00315504317682354,1.0,hinge,0.01,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.9497429268513136,0.943558822014445,0.9409552072915793,0.9448057252717544,0.9278835617634518,0.9413892486385087,0.007331511041526236,49
176.68274898529052,7.56917675862051,0.01384439468383789,0.0028826014199198682,1.0,hinge,0.1,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9433913490611889,0.9471440711177675,0.9461342196366423,0.9486802812357787,0.9468855761482674,0.946447099439929,0.0017378513414704846,41
173.75912342071533,10.007377419731796,0.014119148254394531,0.0021640761901346134,1.0,hinge,0.1,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9560262374162982,0.9593414517240736,0.9498340999995915,0.9581271840959747,0.9524226145117742,0.9551503175495423,0.0035467480490676234,18
159.10735025405884,11.104342818848433,0.014452600479125976,0.00452568746713444,1.0,hinge,1.0,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 1, 'svm__loss': 'hinge'}",0.9573259787640626,0.9536274499121662,0.9472278460301616,0.9600702441362022,0.9505148317166979,0.9537532701118583,0.004598975567355351,21
162.29115743637084,6.510621128293906,0.013225841522216796,0.003993684720497062,1.0,hinge,1.0,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.955902669644287,0.9572291526137828,0.9524721034121969,0.965643400527103,0.9521842614435417,0.9566863175281822,0.004881930343424937,15
173.84196786880494,11.132079225342189,0.01951298713684082,0.0052064288884821446,1.0,hinge,10.0,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 10, 'svm__loss': 'hinge'}",0.957284467724449,0.9598854659246726,0.95288494573616,0.9649076591356396,0.9523599874119779,0.9574645051865798,0.004654513327163593,11
166.61724996566772,9.268604321784101,0.02072010040283203,0.005720754242388559,1.0,hinge,10.0,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'hinge', 'svm__C': 10, 'svm__loss': 'squared_hinge'}",0.9590376194503988,0.9580907003526086,0.9531970248309776,0.9677964763373516,0.9582984550514868,0.9592840552045647,0.004732219064165441,5
119.61839656829834,18.295462407305457,0.016936445236206056,0.00047674217708668906,1.0,squared_hinge,0.01,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.01, 'svm__loss': 'hinge'}",0.9297904664477551,0.9367453963818893,0.9224929960271018,0.9268560989664598,0.9224774446812439,0.92767248050089,0.0053157427034457565,62
153.422714138031,14.131446904895293,0.019344615936279296,0.0028404076341336953,1.0,squared_hinge,0.01,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.01, 'svm__loss': 'squared_hinge'}",0.9442721278134526,0.9436429865875708,0.9336885424540968,0.9347048153315454,0.9349334861783399,0.9382483916730011,0.0046845449727264815,53
161.79028010368347,12.145947230329636,0.018750953674316406,0.0010402007290206282,1.0,squared_hinge,0.1,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.1, 'svm__loss': 'hinge'}",0.9543663481442044,0.9497690625987291,0.9423483803952054,0.9408639489705024,0.9378613900287377,0.9450418260274759,0.006091985645339463,44
163.26370267868043,14.939728276466854,0.022717094421386717,0.0045868093178528776,1.0,squared_hinge,0.1,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 0.1, 'svm__loss': 'squared_hinge'}",0.9546306982455359,0.9514852114329818,0.9384781896517245,0.9458163433234968,0.9453961063465172,0.9471613098000512,0.005564339002010965,39
159.7326289176941,11.655323513804507,0.02004561424255371,0.005147855293154116,1.0,squared_hinge,1.0,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 1, 'svm__loss': 'hinge'}",0.9575229635810741,0.9556083017900615,0.9401126051854952,0.9504706098834693,0.9462828371705889,0.9499994635221377,0.006322141693322017,32
155.18983211517335,11.475080286847687,0.01691279411315918,0.003417675851800826,1.0,squared_hinge,1.0,squared_hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 1, 'svm__loss': 'squared_hinge'}",0.9583743707040796,0.9558864815544207,0.9463105727579926,0.9548636046441271,0.9512796652160643,0.953342938975337,0.004190670862508691,24
149.04681310653686,10.26516348365423,0.020093107223510744,0.009605017112551621,1.0,squared_hinge,10.0,hinge,"{'rfe__estimator__C': 1, 'rfe__estimator__loss': 'squared_hinge', 'svm__C': 10, 'svm__loss': 'hinge'}",0.9560654437758545,0.9544798439037389,0.9478261458178959,0.9549274781421294,0.9496638564806276,0.9525925536240493,0.0032363749301925443,27
