Model,Mean F1 (CV),Std F1
LogReg,0.9858075455899924,0.0029978815573949713
LinearSVM,0.9838389222180808,0.0032389963788480884
RandomForest,0.9808071222018648,0.002504999113394128
RBF-SVM,0.9789098304272337,0.0037388689520499183
kNN(k=5),0.9623094946904676,0.004886048026232243
